food_id,food_title,num_rating,avg_rating,kcal,tags
80,Filet z indyka z ziemniakami i surówką,620,6.95,1311,"łagodny, Wegetariański"
81,Pierogi ruskie,424,5.95,1300,"średni, Vegan"
82,Bigos z młodej kapusty,121,2.92,1054,"średni, Mięsny"
83,Bigos z kiszonej kapusty,488,3.43,1468,"ostry, Wegetariański"
84,Placki ziemniaczane po węgiersku,989,9.9,1250,"ostry, Vegan"
85,Makaron ze szpinakiem,619,2.5,1231,"średni, Wegetariański"
86,Makaron z serem,418,8.31,1328,"ostry, Vegan"
87,Pulpeciki w sosie pomidorowym,871,7.92,1452,"ostry, Mięsny"
88,Filet z indyka z ziemniakami i surówką,528,2.57,1436,"średni, Mięsny"
89,Pierogi z kapustą i grzybami,447,8.3,1114,"średni, Mięsny"
90,Pierogi ze szpinakiem i serem feta,468,6.12,1145,"ostry, Wegetariański"
91,Spaghetti bolognese,373,4.33,1354,"średni, Mięsny"
92,Gołąbki,728,9.37,932,"średni, Wegetariański"
93,Filet z indyka z ziemniakami i surówką,175,7.01,1061,"łagodny, Wegetariański"
94,Bigos z kiszonej kapusty,141,1.76,1280,"łagodny, Wegetariański"
95,Gulasz wieprzowy,587,1.11,1417,"średni, Wegetariański"
96,Makaron ze szpinakiem,464,8.35,1091,"ostry, Mięsny"
97,Bigos z kiszonej kapusty,109,7.33,1474,"łagodny, Vegan"
98,Spaghetti bolognese,236,8.3,1244,"ostry, Vegan"
99,Filet z indyka z ziemniakami i surówką,611,2.83,1466,"ostry, Vegan"
100,Pierogi z owocami,353,2.59,1249,"łagodny, Mięsny"
