,food_id,food_title,num_rating,avg_rating,kcal,tags
48,49,Makaron ze szpinakiem,850,5.47,1138,"ostry, Mięsny"
49,50,Filet z indyka z ziemniakami i surówką,161,3.52,1104,"ostry, Vegan"
50,51,Placki ziemniaczane,976,8.01,1437,"ostry, Mięsny"
51,52,Pulpeciki w sosie pomidorowym,379,8.88,1492,"średni, Vegan"
52,53,Makaron z serem,263,3.18,989,"średni, Mięsny"
53,54,Bigos z kiszonej kapusty,152,4.66,964,"średni, Vegan"
54,55,Pierogi ze szpinakiem i serem feta,704,3.86,1318,"łagodny, Mięsny"
55,56,Pulpeciki w sosie pomidorowym,753,7.79,1462,"ostry, Wegetariański"
56,57,Bigos z młodej kapusty,192,9.02,1359,"średni, Wegetariański"
57,58,Pierogi z kapustą i grzybami,117,2.62,1373,"średni, Mięsny"
58,59,Pierogi z kapustą i grzybami,997,6.48,1350,"ostry, Wegetariański"
59,60,Gołąbki,782,3.34,1255,"średni, Vegan"
60,61,Filet z indyka z ziemniakami i surówką,271,4.07,1234,"ostry, Mięsny"
61,62,Pierogi ruskie,563,6.6,966,"ostry, Vegan"
62,63,Bigos z kiszonej kapusty,814,6.88,1406,"łagodny, Wegetariański"
63,64,Kotlet mielony z ziemniakami i surówką,251,8.78,987,"łagodny, Wegetariański"
64,65,Filet z indyka z ziemniakami i surówką,598,2.37,1051,"łagodny, Vegan"
65,66,Kotlet schabowy z ziemniakami i surówką,812,3.01,1367,"ostry, Wegetariański"
66,67,Filet z kurczaka z ziemniakami i surówką,889,1.72,906,"ostry, Wegetariański"
67,68,Pierogi ze szpinakiem i serem feta,442,8.83,968,"łagodny, Wegetariański"
68,69,Filet z kurczaka z ziemniakami i surówką,951,2.42,952,"łagodny, Vegan"
69,70,Makaron z serem,391,8.52,1091,"średni, Vegan"
70,71,Kotlet mielony z ziemniakami i surówką,290,6.46,1357,"średni, Mięsny"
71,72,Naleśniki z serem i sosem owocowym,637,6.66,1402,"łagodny, Vegan"
72,73,Filet z indyka z ziemniakami i surówką,216,3.64,1367,"średni, Wegetariański"
73,74,Placki ziemniaczane po węgiersku,658,1.38,1176,"ostry, Wegetariański"
74,75,Pierogi ruskie,674,9.7,1110,"łagodny, Wegetariański"
75,76,Bigos z kiszonej kapusty,800,9.8,1480,"łagodny, Vegan"
76,77,Spaghetti carbonara,374,1.87,1093,"łagodny, Mięsny"
77,78,Gołąbki,152,3.6,1450,"łagodny, Mięsny"
78,79,Pierogi z owocami,119,2.67,960,"ostry, Wegetariański"
79,80,Filet z indyka z ziemniakami i surówką,620,6.95,1311,"łagodny, Wegetariański"
80,81,Pierogi ruskie,424,5.95,1300,"średni, Vegan"
81,82,Bigos z młodej kapusty,121,2.92,1054,"średni, Mięsny"
82,83,Bigos z kiszonej kapusty,488,3.43,1468,"ostry, Wegetariański"
83,84,Placki ziemniaczane po węgiersku,989,9.9,1250,"ostry, Vegan"
84,85,Makaron ze szpinakiem,619,2.5,1231,"średni, Wegetariański"
85,86,Makaron z serem,418,8.31,1328,"ostry, Vegan"
86,87,Pulpeciki w sosie pomidorowym,871,7.92,1452,"ostry, Mięsny"
87,88,Filet z indyka z ziemniakami i surówką,528,2.57,1436,"średni, Mięsny"
88,89,Pierogi z kapustą i grzybami,447,8.3,1114,"średni, Mięsny"
89,90,Pierogi ze szpinakiem i serem feta,468,6.12,1145,"ostry, Wegetariański"
90,91,Spaghetti bolognese,373,4.33,1354,"średni, Mięsny"
91,92,Gołąbki,728,9.37,932,"średni, Wegetariański"
92,93,Filet z indyka z ziemniakami i surówką,175,7.01,1061,"łagodny, Wegetariański"
93,94,Bigos z kiszonej kapusty,141,1.76,1280,"łagodny, Wegetariański"
94,95,Gulasz wieprzowy,587,1.11,1417,"średni, Wegetariański"
95,96,Makaron ze szpinakiem,464,8.35,1091,"ostry, Mięsny"
96,97,Bigos z kiszonej kapusty,109,7.33,1474,"łagodny, Vegan"
97,98,Spaghetti bolognese,236,8.3,1244,"ostry, Vegan"
98,99,Filet z indyka z ziemniakami i surówką,611,2.83,1466,"ostry, Vegan"
99,100,Pierogi z owocami,353,2.59,1249,"łagodny, Mięsny"
